d (mm);;D (mm);Mt (Nm);Fax (Nm);pW (N/mm²);pN (N/mm²);Z (Stk.);S;MA (Nm);L (mm);L1 (mm);L2 (mm);Gewicht (kg)
70;x;110;4000;116;110;56;8;M10 x 055;49;50;60;70;2,2
80;x;120;5800;146;121;64;10;M10 x 055;49;50;60;70;2,5
90;x;130;7200;160;118;65;11;M10 x 055;49;50;60;70;2,7
100;x;145;8600;173;96;53;10;M12 x 060;69;60;70;82;4,1
110;x;155;9500;173;87;49;10;M12 x 060;69;60;70;82;4,4
120;x;165;11400;191;88;51;11;M12 x 060;69;60;70;82;4,7
130;x;180;15700;243;92;55;14;M12 x 065;69;65;79;91;6,2
140;x;190;18200;260;91;56;15;M12 x 065;69;65;79;91;6,6
150;x;200;19500;260;85;53;15;M12 x 065;69;65;79;91;7
160;x;210;22100;277;85;54;16;M12 x 065;69;65;79;91;7,4
170;x;225;29200;344;84;52;15;M14 x 075;108;78;92;106;10,4
180;x;235;30900;344;79;50;15;M14 x 075;108;78;92;106;11
190;x;250;34900;367;67;44;16;M14 x 080;108;88;102;116;14,3
200;x;260;45600;456;80;53;18;M14 x 080;108;88;102;116;15
220;x;285;52400;476;70;46;15;M16 x 090;168;96;108;124;19,4
240;x;305;76200;635;86;58;20;M16 x 090;168;96;108;124;21
260;x;325;82500;635;79;54;20;M16 x 090;168;96;108;124;22,5
280;x;355;117000;839;105;65;15;M20 x 100;369;96;110;130;28,2
300;x;375;134000;895;104;66;16;M20 x 100;369;96;110;130;30
320;x;405;179000;1119;97;59;20;M20 x 110;369;124;136;156;47,1
340;x;425;190000;1119;91;56;20;M20 x 110;369;124;136;156;49,7
360;x;455;250000;1389;85;58;20;M22 x 130;495;140;157;179;66,8
380;x;475;263000;1389;81;55;20;M22 x 130;495;140;157;179;70,1
400;x;495;305000;1528;84;58;22;M22 x 130;495;140;157;179;73,4
420;x;515;350000;1667;88;61;24;M22 x 130;495;140;157;179;76,7
440;x;535;366000;1667;84;59;24;M22 x 130;550;140;157;179;79,9
460;x;555;383000;1667;80;57;24;M22 x 130;550;140;157;179;83,2
480;x;575;416000;1736;80;57;25;M22 x 130;550;140;157;179;86,5
500;x;595;434000;1736;77;55;25;M22 x 130;550;140;157;179;89,8
520;x;615;505000;1945;83;60;28;M22 x 130;550;140;157;179;93,1
540;x;635;525000;1945;80;58;28;M22 x 130;550;140;157;179;96,3
560;x;655;583000;2084;82;60;30;M22 x 130;550;140;157;179;99,6
580;x;675;604000;2084;79;58;30;M22 x 130;550;140;157;179;103
600;x;695;625000;2084;77;57;30;M22 x 130;550;140;157;179;106
